State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage
New York,"$98,166 ","$8,180 ","$1,887 ",$47.20 
Pennsylvania,"$89,890 ","$7,490 ","$1,728 ",$43.22 
New Hampshire,"$87,898 ","$7,324 ","$1,690 ",$42.26 
New Jersey,"$86,566 ","$7,213 ","$1,664 ",$41.62 
Wyoming,"$85,631 ","$7,135 ","$1,646 ",$41.17 
Washington,"$85,515 ","$7,126 ","$1,644 ",$41.11 
Wisconsin,"$84,902 ","$7,075 ","$1,632 ",$40.82 
Massachusetts,"$84,899 ","$7,074 ","$1,632 ",$40.82 
Alaska,"$84,677 ","$7,056 ","$1,628 ",$40.71 
Oregon,"$83,991 ","$6,999 ","$1,615 ",$40.38 
Indiana,"$83,857 ","$6,988 ","$1,612 ",$40.32 
North Dakota,"$83,837 ","$6,986 ","$1,612 ",$40.31 
Hawaii,"$82,209 ","$6,850 ","$1,580 ",$39.52 
Arizona,"$82,123 ","$6,843 ","$1,579 ",$39.48 
New Mexico,"$81,613 ","$6,801 ","$1,569 ",$39.24 
Colorado,"$81,074 ","$6,756 ","$1,559 ",$38.98 
Minnesota,"$81,053 ","$6,754 ","$1,558 ",$38.97 
Montana,"$80,886 ","$6,740 ","$1,555 ",$38.89 
Nevada,"$80,065 ","$6,672 ","$1,539 ",$38.49 
Alabama,"$79,876 ","$6,656 ","$1,536 ",$38.40 
South Dakota,"$79,235 ","$6,602 ","$1,523 ",$38.09 
Vermont,"$79,108 ","$6,592 ","$1,521 ",$38.03 
Ohio,"$79,063 ","$6,588 ","$1,520 ",$38.01 
Rhode Island,"$77,796 ","$6,483 ","$1,496 ",$37.40 
Iowa,"$76,863 ","$6,405 ","$1,478 ",$36.95 
Delaware,"$76,760 ","$6,396 ","$1,476 ",$36.90 
Connecticut,"$76,617 ","$6,384 ","$1,473 ",$36.84 
Virginia,"$75,872 ","$6,322 ","$1,459 ",$36.48 
Mississippi,"$75,561 ","$6,296 ","$1,453 ",$36.33 
Tennessee,"$75,487 ","$6,290 ","$1,451 ",$36.29 
Utah,"$75,098 ","$6,258 ","$1,444 ",$36.11 
Illinois,"$74,872 ","$6,239 ","$1,439 ",$36.00 
Georgia,"$74,409 ","$6,200 ","$1,430 ",$35.77 
Maryland,"$74,394 ","$6,199 ","$1,430 ",$35.77 
California,"$74,169 ","$6,180 ","$1,426 ",$35.66 
Nebraska,"$72,966 ","$6,080 ","$1,403 ",$35.08 
Maine,"$72,629 ","$6,052 ","$1,396 ",$34.92 
Missouri,"$72,093 ","$6,007 ","$1,386 ",$34.66 
South Carolina,"$71,384 ","$5,948 ","$1,372 ",$34.32 
Kansas,"$71,124 ","$5,927 ","$1,367 ",$34.19 
Idaho,"$70,811 ","$5,900 ","$1,361 ",$34.04 
Louisiana,"$70,765 ","$5,897 ","$1,360 ",$34.02 
Oklahoma,"$70,662 ","$5,888 ","$1,358 ",$33.97 
Texas,"$70,205 ","$5,850 ","$1,350 ",$33.75 
North Carolina,"$69,910 ","$5,825 ","$1,344 ",$33.61 
West Virginia,"$69,422 ","$5,785 ","$1,335 ",$33.38 
Kentucky,"$67,321 ","$5,610 ","$1,294 ",$32.37 
Michigan,"$67,165 ","$5,597 ","$1,291 ",$32.29 
Florida,"$65,851 ","$5,487 ","$1,266 ",$31.66 
Arkansas,"$63,890 ","$5,324 ","$1,228 ",$30.72 
